,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
Player,Pos,Squad,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Dean Henderson,GK,Nott'ham Forest,3,149,126,147,2,0,0,105,0,0,,0,0,65,354,184,0,0,0,0,0,54,54,100,0
Jordan Henderson,MF,Liverpool,2,155,3,30,97,36,4,151,0,0,,0,0,96,451,151,5,3,0,2,0,120,110,91.7,5
Rico Henry,DF,Brentford,3,133,10,43,57,39,1,113,0,0,,0,0,80,312,91,3,2,1,5,3,77,65,84.4,5
Son Heung-min,MFFW,Tottenham,2.7,118,6,14,40,67,14,100,0,5,0,1,1,74,418,202,9,2,2,7,4,97,72,74.2,21
Aaron Hickey,DF,Brentford,2.4,105,4,32,58,29,2,96,1,3,33.3,1,0,72,506,314,12,4,0,0,3,78,73,93.6,3
Pierre Højbjerg,MF,Tottenham,3,209,14,63,121,40,0,206,3,3,100,3,0,152,605,246,8,2,0,4,4,162,154,95.1,5
Mason Holgate,DF,Everton,2.8,151,21,84,68,12,4,145,3,3,100,3,0,79,349,197,3,2,0,2,0,92,88,95.7,0
Will Hughes,MF,Crystal Palace,0.3,21,0,2,8,12,5,21,0,0,,0,0,13,64,28,2,0,1,0,1,16,15,93.8,3
Kelechi Iheanacho,FW,Leicester City,0.4,16,0,1,6,10,3,15,2,3,66.7,2,0,11,47,41,2,0,2,0,3,24,13,54.2,3
Danny Ings,FW,Aston Villa,1.9,62,3,5,21,41,14,60,3,5,60,4,0,42,167,85,6,3,1,2,5,71,46,64.8,16
Alex Iwobi,MF,Everton,3,172,10,46,116,23,2,170,3,3,100,3,0,123,644,294,8,3,0,4,2,107,104,97.2,4
Daniel James,FW,Leeds United,1.4,44,1,6,20,22,3,44,1,2,50,1,0,28,152,99,6,2,1,3,1,56,27,48.2,6
Reece James,DF,Chelsea,3,257,6,57,109,107,4,209,3,6,50,3,0,157,721,396,17,6,1,4,2,169,159,94.1,11
Vitaly Janelt,MFDF,Brentford,1.7,92,4,28,52,21,1,86,3,3,100,3,0,66,409,236,6,4,0,2,2,59,54,91.5,3
Pontus Jansson,DF,Brentford,3,148,23,95,58,1,1,147,0,0,,0,0,90,351,110,1,0,0,2,0,98,96,98,0
Mathias Jensen,MF,Brentford,2.1,115,2,22,51,45,3,93,0,2,0,0,1,55,155,67,5,1,0,2,1,70,64,91.4,2
Gabriel Jesus,FW,Arsenal,2.8,128,0,9,56,71,26,123,9,15,60,10,1,90,291,128,5,2,1,8,13,132,97,73.5,21
Raúl Jiménez,FW,Wolves,0.4,5,0,0,2,3,2,4,1,2,50,2,0,3,14,13,1,0,1,2,0,7,3,42.9,1
Joelinton,MF,Newcastle Utd,3,154,9,32,80,52,7,151,2,5,40,2,0,104,565,187,5,2,1,3,2,108,102,94.4,11
Ben Johnson,DF,West Ham,2.2,101,16,59,42,8,0,97,1,1,100,1,0,56,341,150,4,2,0,0,0,56,55,98.2,0
Brennan Johnson,FW,Nott'ham Forest,3,76,0,3,31,47,12,73,1,4,25,3,0,51,213,153,9,2,4,10,3,94,49,52.1,10
Jorginho,MF,Chelsea,2.5,179,4,36,108,45,2,177,0,1,0,0,0,120,447,228,9,6,0,3,3,140,137,97.9,3
James Justin,DF,Leicester City,3,166,10,47,85,43,1,140,2,4,50,2,0,93,346,207,9,2,1,3,2,116,99,85.3,8
Boubacar Kamara,MF,Aston Villa,2.9,226,11,62,145,30,2,219,2,5,40,2,0,146,643,302,14,4,0,3,3,147,142,96.6,1
Harry Kane,FW,Tottenham,3,101,2,10,51,42,15,94,2,4,50,2,1,65,266,130,9,2,1,7,8,112,75,67,18
N'Golo Kanté,MF,Chelsea,1.9,141,2,22,74,56,4,141,5,9,55.6,6,2,98,518,255,16,3,1,3,2,113,104,92,7
Neeskens Kebano,FW,Fulham,1.6,59,1,9,21,36,7,59,4,6,66.7,4,0,50,313,229,12,5,3,3,3,57,36,63.2,4
Thilo Kehrer,DF,West Ham,1,67,8,40,31,1,0,65,0,0,,0,0,47,287,127,3,0,0,0,0,45,45,100,0
Lloyd Kelly,DF,Bournemouth,3,159,37,112,39,11,2,145,0,0,,0,0,90,388,166,2,0,0,0,0,98,98,100,0
Max Kilman,DF,Wolves,3,251,64,160,97,6,3,248,3,3,100,3,0,160,915,405,2,1,0,0,0,175,175,100,0
Mateusz Klich,MF,Leeds United,0.5,21,1,5,5,11,2,20,0,0,,0,0,9,27,17,1,0,1,0,1,21,16,76.2,7
Robin Koch,DF,Leeds United,3,157,42,111,49,3,1,149,0,0,,0,0,67,286,140,0,0,0,0,0,88,87,98.9,0
Ezri Konsa,DF,Aston Villa,2,134,18,67,69,3,1,130,0,0,,0,0,87,335,129,4,0,0,1,0,91,90,98.9,0
Kalidou Koulibaly,DF,Chelsea,2.7,235,20,94,131,20,6,229,2,2,100,2,0,141,603,318,10,3,0,1,1,166,166,100,0
Cheikhou Kouyaté,MF,Nott'ham Forest,0.1,10,2,3,4,3,0,10,0,0,,0,0,4,31,10,1,0,0,0,0,6,6,100,1
Emil Krafth,DF,Newcastle Utd,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
Dejan Kulusevski,MFFW,Tottenham,2.9,121,3,17,46,70,14,118,4,9,44.4,4,1,97,717,463,25,8,8,6,8,112,88,78.6,16
Adam Lallana,MF,Brighton,2.2,103,3,16,48,45,6,100,1,2,50,1,0,78,346,208,10,2,2,2,3,87,77,88.5,15
Tariq Lamptey,DF,Brighton,0.4,22,0,2,6,14,1,19,1,2,50,1,0,18,39,32,2,0,0,4,1,20,19,95,1
Manuel Lanzini,MFFW,West Ham,1,59,0,12,38,18,0,58,0,0,,0,0,44,288,169,10,5,0,1,0,55,50,90.9,3
Roméo Lavia,MF,Southampton,3,146,4,38,95,19,1,144,3,4,75,3,0,103,402,140,3,0,1,1,3,88,85,96.6,2
