Player,Pos,Squad,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Player,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Diogo Dalot,DF,Manchester Utd,2.9,121,169,71.6,2215,704,50,62,80.6,57,70,81.4,13,32,40.6,0,0.3,-0.3,5,9,5,1,10
Josh Dasilva,MF,Brentford,1.8,56,69,81.2,1034,318,28,31,90.3,18,23,78.3,9,14,64.3,0,0,0,0,3,3,0,6
Ben Davies,DF,Tottenham,2.9,134,157,85.4,2660,1011,48,56,85.7,66,69,95.7,20,30,66.7,1,0.1,+0.9,2,13,2,1,13
Tom Davies,MF,Everton,1.2,43,52,82.7,876,219,21,23,91.3,13,15,86.7,9,12,75,0,0.1,-0.1,1,4,0,0,5
Kevin De Bruyne,MF,Manchester City,3,128,166,77.1,2568,730,52,60,86.7,51,61,83.6,23,39,59,3,1.4,+1.6,10,12,9,2,16
Leander Dendoncker,MF,Wolves,2.4,83,95,87.4,1624,281,32,38,84.2,38,38,100,11,11,100,0,0,0,2,5,0,0,5
Halil Dervişoğlu,MF,Brentford,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Kiernan Dewsbury-Hall,MF,Leicester City,2.8,103,135,76.3,1955,482,54,61,88.5,32,45,71.1,16,28,57.1,0,0.1,-0.1,2,15,3,0,15
Ibrahima Diallo,MF,Southampton,0.2,9,9,100,146,15,4,4,100,5,5,100,0,0,,0,0,0,0,1,1,0,1
Rúben Dias,DF,Manchester City,2.5,208,219,95,4180,1367,67,69,97.1,116,120,96.7,25,28,89.3,0,0.1,-0.1,1,17,0,0,10
Luis Díaz,FW,Liverpool,2.9,85,105,81,1338,154,43,53,81.1,37,41,90.2,3,4,75,0,0,0,1,3,2,0,4
Eric Dier,DF,Tottenham,3,165,188,87.8,3922,1273,40,44,90.9,75,78,96.2,47,59,79.7,0,0.1,-0.1,1,6,0,0,5
Lucas Digne,DF,Aston Villa,3,170,211,80.6,2888,960,86,96,89.6,66,78,84.6,15,28,53.6,0,0.3,-0.3,3,8,5,4,14
Moussa Djenepo,DF,Southampton,2.8,77,109,70.6,1304,454,38,43,88.4,33,43,76.7,5,16,31.3,1,0.2,+0.8,3,4,4,2,8
Matt Doherty,DF,Tottenham,0,1,2,50,9,0,1,1,100,0,1,0,0,0,,0,0,0,0,0,0,0,0
Gabriel Dos Santos,DF,Arsenal,3,174,190,91.6,3590,1152,54,56,96.4,92,94,97.9,28,37,75.7,0,0,0,0,5,0,0,9
Abdoulaye Doucouré,MF,Everton,1.4,40,46,87,663,220,17,18,94.4,18,22,81.8,2,2,100,0,0,0,0,5,0,0,3
Cheick Doucouré,MF,Crystal Palace,2.7,96,109,88.1,1850,474,44,48,91.7,37,41,90.2,15,18,83.3,0,0.8,-0.8,2,12,1,0,9
Flynn Downes,MF,West Ham,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Shane Duffy,DFFW,Fulham,0,1,1,100,20,12,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0
Lewis Dunk,DF,Brighton,3,78,99,78.8,1891,706,21,22,95.5,37,42,88.1,20,34,58.8,0,0,0,0,4,0,0,3
Malcolm Ebiowei,FW,Crystal Palace,0.1,2,3,66.7,67,10,1,1,100,0,0,,1,1,100,0,0,0,0,0,0,0,0
Ederson,GK,Manchester City,3,83,93,89.2,2081,1114,14,14,100,47,48,97.9,22,31,71,0,0,0,0,0,0,0,0
Odsonne Édouard,FW,Crystal Palace,1.7,28,34,82.4,324,85,22,24,91.7,6,8,75,0,0,,1,0.2,+0.8,1,0,1,0,3
Anthony Elanga,FW,Manchester Utd,0.9,15,21,71.4,258,67,10,14,71.4,3,4,75,2,2,100,1,0.4,+0.6,2,1,0,0,1
Harvey Elliott,MF,Liverpool,2.3,120,141,85.1,1973,443,63,72,87.5,43,47,91.5,10,14,71.4,0,0.5,-0.5,5,12,5,0,13
Mohamed Elyounoussi,MFFW,Southampton,1.7,16,33,48.5,317,56,8,12,66.7,6,13,46.2,2,6,33.3,0,0,0,0,2,0,0,1
Emerson,DF,Tottenham,2.9,113,142,79.6,1893,583,56,64,87.5,43,51,84.3,12,19,63.2,1,0.2,+0.8,2,9,3,1,8
Christian Eriksen,MFFW,Manchester Utd,2.9,120,168,71.4,2269,607,53,62,85.5,51,60,85,15,38,39.5,0,0.1,-0.1,3,16,3,0,13
Pervis Estupiñán,DF,Brighton,0.3,9,13,69.2,143,79,4,6,66.7,5,6,83.3,0,1,0,0,0.2,-0.2,2,0,1,0,1
Jonny Evans,DF,Leicester City,3,195,213,91.5,4059,1256,60,64,93.8,109,116,94,26,32,81.3,0,0,0,0,10,0,0,9
Eberechi Eze,MFFW,Crystal Palace,2.8,94,120,78.3,1733,449,48,53,90.6,30,35,85.7,15,27,55.6,1,0.6,+0.4,4,9,1,0,8
